"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774583903770280445","Sun Mar 31 23:45:47 +0000 2024","0","Kalo dipikir2 kita sama2 pindah tempat kerja. Taemin pindah agensi aku mau pindah tempat induk kerja. Semangat deh kita","1774583903770280445","","","in","SHINee World","0","1","0","https://x.com/minglup/status/1774583903770280445","118003570","minglup"
"1774380126702321731","Sun Mar 31 23:02:53 +0000 2024","2","@bandacatturas semangat . bisa kl kerja dsana cepet. pny temen dl krj dsini terus pindah ke sana. dah bngun kost2an berapa unit di jatinangor.","1774573107342381301","","bandacatturas","in","Bekasi Barat, Indonesia","0","1","0","https://x.com/SateTong/status/1774573107342381301","1303805490627923968","SateTong"
"1774572427881955603","Sun Mar 31 23:00:11 +0000 2024","0","Semalam tgl dkt taman maluri. Pagi ni bangun2 je dah tgl dkt bandar seri permaisuri. Kerja gila pindah tgh malam td.","1774572427881955603","","","in","","0","2","0","https://x.com/sakibakisakura/status/1774572427881955603","411188600","sakibakisakura"
"1774323289269411876","Sun Mar 31 22:58:50 +0000 2024","0","@tanyakanrl Katanya si ibu ini bapaknya itu yg kerja di damkar jaktim anjir. Mana rumahnya di cilangkap deket rumah gue. Kl tau rumahnya sih gue lemparin pake telor busuk tiap hari sampe pindah","1774572088051077442","","tanyakanrl","in","IDN","0","0","0","https://x.com/dorayakikukus24/status/1774572088051077442","920179603053748225","dorayakikukus24"
"1774565802584506794","Sun Mar 31 22:33:51 +0000 2024","1","Patutlah mereka pindah kerja Sel KL dengan Putrajaya.","1774565802584506794","","","in","Latveria","0","0","0","https://x.com/AriffJ93/status/1774565802584506794","2748267235","AriffJ93"
"1774560372521058341","Sun Mar 31 22:12:22 +0000 2024","0","kadang masi suka mikir beruntung ga si kmren aku pindah kerja apaa engga?","1774560394830545218","","javaxlv","in","Riau","0","1","0","https://x.com/javaxlv/status/1774560394830545218","1393738232","javaxlv"
"1774559502609838522","Sun Mar 31 22:08:49 +0000 2024","1","geram la baca pasal cikgu pedophilia tu kena tanggung kerja je. berapa lama nak tanggung tugas? sebab bila dia masuk balik dia aim budak budak baru yang tak pernah dengar pasal dia pulak. pindah maktab? sama je masuk jugak tempat penuh dengan budak budak.","1774559502609838522","","","in","gunnook","0","0","0","https://x.com/illiosunoo/status/1774559502609838522","1472604294134173697","illiosunoo"
"1774551211817283982","Sun Mar 31 21:55:07 +0000 2024","0","@undipmenfess di klinik tempatku kerja masih bisa dipake sih walaupun faskes luar tp cuma dapet max 3 kali kunjungan dan harus dalam sebulan itu lgsg dipakenya pindah faskes jg gabisa langsung digunain biasanya harus nunggu sebulan atau paling cepet 3 minggu dan per tgl 1 baru bisa dipakenya","1774556053952471369","","undipmenfess","in","","0","0","0","https://x.com/sabileus/status/1774556053952471369","1063350323442442241","sabileus"
"1774435008561955094","Sun Mar 31 21:04:37 +0000 2024","0","@dopablooo Banyak duit pindah kerja","1774543346461225093","","dopablooo","in","","0","0","0","https://x.com/_specialgrade/status/1774543346461225093","1533363196047675392","_specialgrade"
"1774537627569623185","Sun Mar 31 20:41:54 +0000 2024","0","lanjut kerja rodi yg gk slesai2 ini (gw pgn pindah cabang plis) https://t.co/EGaAyYdhmh","1774537627569623185","https://pbs.twimg.com/media/GKBskXJaoAAIVFn.jpg","","in","18","0","1","0","https://x.com/ollalui/status/1774537627569623185","1673295470075211780","ollalui"
"1774511014639468634","Sun Mar 31 20:34:21 +0000 2024","0","@hoyeeons They never learn their lesson sih yg tahun kemarin pas tds 2 kan juga sama aja bahkan pindah negara dalam kurun waktu sehari kayak lagi ngejar target buat bayar utang negara makanya artisnya disuruh kerja rodi","1774535726216200213","","hoyeeons","in","","0","1","0","https://x.com/burnpinkk/status/1774535726216200213","1340177621896708096","burnpinkk"
"1774530482790875516","Sun Mar 31 20:13:30 +0000 2024","1","Baiknya pindah kerja saja. Sudah coba apply ke sekolah2 internasional? Atau ikutan open recruitment bumn dan ASN","1774530482790875516","","","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/fatmapuspita/status/1774530482790875516","80533122","fatmapuspita"
"1774525725665792183","Sun Mar 31 19:54:36 +0000 2024","0","Temen-temen gue banyak kok yg banting setir pindah halauan ga jadi guru tapi kerja di perkantoran.. gue kalo jadi mereka juga pasti ambil jalan yg sama sih kalo gue belum bisa S2 atau ambil PPG terus lolos CPNS l/PPPK emang di Indonesia itu gaji guru bisa sebercanda itu","1774525725665792183","","","in","Seoul","0","0","0","https://x.com/richa_nilam/status/1774525725665792183","430397800","richa_nilam"
"1774521628501889098","Sun Mar 31 19:38:19 +0000 2024","0","pindah bandung kali ya? (ngarep). tp kontrak kerja masi sampe tahun depan :(","1774521628501889098","","","in","","0","0","0","https://x.com/nrmlsr111/status/1774521628501889098","1177018177227640832","nrmlsr111"
"1774510601005674838","Sun Mar 31 19:31:19 +0000 2024","0"," kakak udah capek kerja setidaknya cuman ini yg bisa adek kasi ke kakak nangis gaklo anjing. setaun aku kerja aku pindah kerja ke jakarta. kami pisah. tapi setiap hari kami selalu rutin komunikasi. BHAKAN SETIAP HARI DIA SELALU TELFON BANGUNIN AKU DR JAUH","1774519865531130140","","jeononujjang","in","caratland","0","1","0","https://x.com/jeononujjang/status/1774519865531130140","1471386767592886275","jeononujjang"
"1774513246063718527","Sun Mar 31 19:07:12 +0000 2024","0","Kangen anak sekarang pada kerja apa ya apa sesuai j urusan apa ngga️i bet cuma segelintir yang lanjutin jurusan trs ke kerjaan dah WELL banyak jg si tapi kek pindah ke interior dsbada yang kerja di bank gaksih wkwkw gatau tafi keren","1774513796377444771","","kageyamean","in","","0","0","0","https://x.com/kageyamean/status/1774513796377444771","1670444418128822272","kageyamean"
"1774306021680558332","Sun Mar 31 18:58:07 +0000 2024","1","@ardisatriawan Pernah lebih bayar ribet waktu itu ngisi form dari 2 pt (karena pindah kerja). Lalu dihubungi sama pihak pajak mau datang tuk audit. sy cuma karyawan biasa yg cuma punya harta motor dan punya banyak hutang tapi 1 team orang2 pajak menyempatkan waktunya sy terhormat sekali ","1774511510712442891","","ardisatriawan","in","","0","0","0","https://x.com/ecobudie/status/1774511510712442891","630875770","ecobudie"
"1774511163268849841","Sun Mar 31 18:56:44 +0000 2024","1","Tenteku hampir tiap hari update di IG mungkin udah ga banyak kesibukan setelah pindah tempat kerja ","1774511163268849841","","","in","AE - East Java","0","0","0","https://x.com/thoriqsayudhi/status/1774511163268849841","595595131","thoriqsayudhi"
